contractor_id,company_name,trade_type,coverage_postcodes,city_region,phone,email,certifications,avg_response_days,emergency_callout,tier_approved,rating_out_of_5,active_on_network,notes
HS-1000,Metro Roofing Solutions,Roofing,"E1, N1, SW6, SE1, SW1, SE22, NW1",London,01222507202,claims@metroroofingsol.co.uk,Trustmark; CompetentRoofer,1,Yes (Mon-Sat),"Comprehensive,Landlord",4.8,Yes,
HS-1001,Metro Roofing Solutions,Roofing,"NW1, E1, EC1, SW1",London,01222473076,claims@metroroofingsol.co.uk,CompetentRoofer; Trustmark,2,Yes (24/7),All tiers,4.5,Yes,
HS-1002,Quality Plumbing Specialists,Plumbing & Heating,"NW1, SW6, N1",London,01158762825,claims@qualityplumbing.co.uk,Gas Safe Registered; CIPHE Member,1,Yes (8am-10pm),"Comprehensive,Landlord",4.7,Yes,
HS-1003,City Electrical Specialists,Electrical,"SW1, SE1, SE22, SW6",London,01148030041,claims@cityelectricals.co.uk,NICEIC Approved; NAPIT Registered,5,Yes (24/7),"Comprehensive,Landlord",4.2,Yes,
HS-1004,Metro Electrical Contractors,Electrical,"SW6, WC1, N1, SE22",London,01134547293,claims@metroelectrical.co.uk,NAPIT Registered; Part P Certified,3,Yes (Mon-Sat),"Comprehensive,Landlord",4.2,Yes,
HS-1005,Summit Electrical Services,Electrical,"E1, WC1, SE1, SW1, SW6, NW1, SE22",London,01313980397,claims@summitelectrica.co.uk,NAPIT Registered; NICEIC Approved,1,No,Comprehensive only,4.8,Yes,
HS-1006,Quality Building Services,Building & Structural,"SW6, W1, SW1",London,01151799898,claims@qualitybuilding.co.uk,RICS Accredited; FMB Member,2,Yes (Mon-Sat),All tiers,4.8,Yes,
HS-1007,Elite Damp Contractors,Damp & Timber Treatment,"SE1, E1, SW1, SW6, EC1, N1, W1",London,01416224739,claims@elitedampcontra.co.uk,Trustmark; FMB Member,1,No,"Comprehensive,Landlord",4.7,Yes,
HS-1008,Metro Damp Group,Damp & Timber Treatment,"SE1, NW1, WC1, E1, SW1, W1",London,01176378704,claims@metrodampgroup.co.uk,FMB Member; Trustmark,2,Yes (Mon-Sat),All tiers,4.3,Review pending,
HS-1009,Expert Glazing Building Services,Glazing,"SE22, NW1, N1, SW6, E1, SE1, EC1",London,01136960763,claims@expertglazingbu.co.uk,Which? Trusted Trader; Trustmark,1,Yes (8am-10pm),All tiers,4.6,Yes,
HS-1010,Quality Joinery Building Services,Joinery & Carpentry,"SE1, SW6, N1",London,01139759386,claims@qualityjoineryb.co.uk,FMB Member; Trustmark,3,Yes (Mon-Sat),"Comprehensive,Landlord",4.1,Yes,
HS-1011,ProBuild Joinery Specialists,Joinery & Carpentry,"SE22, W1, N1, EC1, SW1, WC1, E1",London,01211536214,claims@probuildjoinery.co.uk,Trustmark; FMB Member,2,No,All tiers,4.0,Yes,
HS-1012,Metro Plastering Services,Plastering & Rendering,"NW1, EC1, E1, SE1, N1",London,01918015611,claims@metroplastering.co.uk,Trustmark; FMB Member,2,Yes (8am-10pm),All tiers,4.4,Yes,
HS-1013,City Plastering Property Services,Plastering & Rendering,"NW1, E1, SE1, W1, SE22, N1, SW1",London,01216532226,claims@cityplasteringp.co.uk,FMB Member; Trustmark,2,Yes (24/7),All tiers,4.6,Review pending,
HS-1014,Elite Flooring Group,Flooring,"E1, SW1, WC1, SW6",London,01136744346,claims@eliteflooringgr.co.uk,Trustmark; FMB Member,1,Yes (Mon-Sat),"Standard,Comprehensive,Landlord",4.6,Yes,
HS-1015,National Flooring Solutions,Flooring,"NW1, E1, W1",London,01177126514,claims@nationalfloorin.co.uk,Trustmark; FMB Member,3,Yes (8am-10pm),All tiers,4.6,Review pending,
HS-1016,Premier Kitchen Installation Services,Kitchen Installation,"E1, SW6, SE1, SW1",London,01227362677,claims@premierkitcheni.co.uk,Trustmark; FMB Member,5,Yes (8am-10pm),"Comprehensive,Landlord",4.2,Yes,
HS-1017,Elite Bathroom Installation Solutions,Bathroom Installation,"E1, SE1, SE22, N1, EC1",London,01221210344,claims@elitebathroomin.co.uk,Trustmark; FMB Member,5,Yes (24/7),"Comprehensive,Landlord",4.5,Review pending,
HS-1018,Crown Bathroom Installation Services,Bathroom Installation,"NW1, EC1, W1, E1",London,01151765051,claims@crownbathroomin.co.uk,FMB Member; Trustmark,2,Yes (8am-10pm),"Comprehensive,Landlord",4.9,Yes,
HS-1019,Expert Painting Group,Painting & Decorating,"NW1, WC1, SE1",London,01136934806,claims@expertpaintingg.co.uk,Trustmark; FMB Member,2,No,"Standard,Comprehensive,Landlord",4.3,Yes,
HS-1020,Shield Painting Solutions,Painting & Decorating,"E1, SW1, W1, EC1, N1, WC1, SE1",London,01319793265,claims@shieldpaintings.co.uk,FMB Member; Trustmark,1,Yes (8am-10pm),All tiers,4.0,Review pending,
HS-1021,Premier Painting Building Services,Painting & Decorating,"SE22, SW1, N1",London,01314015664,claims@premierpainting.co.uk,FMB Member; Trustmark,2,Yes (8am-10pm),Comprehensive only,4.0,Yes,
HS-1022,Metro Drainage Property Services,Drainage,"E1, N1, EC1",London,01913216073,claims@metrodrainagepr.co.uk,FMB Member; Trustmark,2,Yes (8am-10pm),"Comprehensive,Landlord",4.7,Yes,
HS-1023,Regional Drainage & Sons,Drainage,"SE22, N1, E1, SE1, SW6, WC1",London,01315303837,claims@regionaldrainag.co.uk,Trustmark; FMB Member,1,Yes (8am-10pm),"Comprehensive,Landlord",4.6,Yes,
HS-1024,Metro Drainage Specialists,Drainage,"SE1, N1, W1, E1, NW1, WC1, SW6",London,01412628028,claims@metrodrainagesp.co.uk,Trustmark; FMB Member,2,Yes (24/7),All tiers,4.0,Yes,
HS-1025,Expert Locksmith Services,Locksmith,"W1, SW1, SE22, SE1, EC1",London,01612913881,claims@expertlocksmith.co.uk,Master Locksmiths Association; Trustmark,2,Yes (8am-10pm),All tiers,4.4,Yes,
HS-1026,ProBuild Locksmith Ltd,Locksmith,"EC1, N1, E1",London,01152313989,claims@probuildlocksmi.co.uk,Trustmark; Master Locksmiths Association,2,No,Comprehensive only,4.1,Yes,
HS-1027,Crown Locksmith Ltd,Locksmith,"E1, N1, SW6",London,01615293614,claims@crownlocksmithl.co.uk,Master Locksmiths Association; Trustmark,2,Yes (24/7),Comprehensive only,3.9,Yes,
HS-1028,Elite Fire Restoration Specialists,Fire Restoration,"SW6, W1, EC1, NW1, E1, SW1",London,01179911534,claims@elitefirerestor.co.uk,BDMA Member; Trustmark,1,Yes (8am-10pm),All tiers,4.2,Yes,
HS-1029,Prestige Fire Restoration Group,Fire Restoration,"SE22, N1, SW6, NW1, EC1, WC1, SW1",London,01155394352,claims@prestigefireres.co.uk,BDMA Member; Trustmark,1,Yes (24/7),All tiers,4.4,Yes,
HS-1030,Swift Flood Remediation Specialists,Flood Remediation,"SE22, SW6, SE1, E1",London,01914496598,claims@swiftfloodremed.co.uk,BDMA Member; PCA Registered,2,Yes (Mon-Sat),All tiers,5.0,Yes,
HS-1031,Apex Flood Remediation Ltd,Flood Remediation,"SE1, E1, WC1, SE22, N1, W1, SW1",London,01133036141,claims@apexfloodremedi.co.uk,PCA Registered; BDMA Member,1,Yes (24/7),"Standard,Comprehensive,Landlord",5.0,Yes,
HS-1032,Reliable Subsidence Specialist Group,Subsidence Specialist,"WC1, SE1, W1, SE22",London,01318023575,claims@reliablesubside.co.uk,PCA Registered; RICS Accredited,1,No,All tiers,4.1,Yes,HomeShield-approved specialist; must be pre-authorised before work commences
HS-1033,Premier Environmental (Oil/Contamination) Ltd,Environmental (Oil/Contamination),"SE1, W1, NW1, N1, SE22, E1, WC1",London,01419415619,claims@premierenvironm.co.uk,ISO 14001 Certified; Environment Agency Licensed,2,No,"Comprehensive,Landlord",4.4,Yes,Environment Agency licensed; required for all oil escape clean-up claims
HS-1034,Regional Environmental (Oil/Contamination) Contractors,Environmental (Oil/Contamination),"E1, SW6, N1, W1, SE22, WC1, SW1",London,01418298477,claims@regionalenviron.co.uk,Environment Agency Licensed; ISO 14001 Certified,2,Yes (Mon-Sat),"Standard,Comprehensive,Landlord",3.8,Yes,Environment Agency licensed; required for all oil escape clean-up claims
HS-1035,ProBuild Scaffolding & Sons,Scaffolding,"SW1, N1, SE1",London,01416011671,claims@probuildscaffol.co.uk,Trustmark; FMB Member,1,No,All tiers,4.0,Review pending,
