property_type,region,rebuild_cost_low_per_sqm_gbp,rebuild_cost_high_per_sqm_gbp,rebuild_cost_avg_per_sqm_gbp,typical_property_size_sqm,estimated_total_rebuild_low_gbp,estimated_total_rebuild_high_gbp,includes_professional_fees_pct,includes_vat_pct,last_updated,notes
1-bed flat (leasehold),London,79,108,93,66,5214,7128,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Typically freeholder insures structure; leaseholder insures contents + improvements
1-bed flat (leasehold),South East England,68,93,80,176,11968,16368,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Typically freeholder insures structure; leaseholder insures contents + improvements
1-bed flat (leasehold),East of England,60,82,71,80,4800,6560,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Typically freeholder insures structure; leaseholder insures contents + improvements
1-bed flat (leasehold),South West England,59,81,70,74,4366,5994,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Typically freeholder insures structure; leaseholder insures contents + improvements
1-bed flat (leasehold),East Midlands,52,71,61,149,7748,10579,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Typically freeholder insures structure; leaseholder insures contents + improvements
1-bed flat (leasehold),West Midlands,53,72,62,93,4929,6696,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Typically freeholder insures structure; leaseholder insures contents + improvements
1-bed flat (leasehold),Yorkshire and Humber,50,69,59,162,8100,11178,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Typically freeholder insures structure; leaseholder insures contents + improvements
1-bed flat (leasehold),North West England,51,69,60,65,3315,4485,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Typically freeholder insures structure; leaseholder insures contents + improvements
1-bed flat (leasehold),North East England,48,66,57,150,7200,9900,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Typically freeholder insures structure; leaseholder insures contents + improvements
1-bed flat (leasehold),Wales,49,67,58,78,3822,5226,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Typically freeholder insures structure; leaseholder insures contents + improvements
1-bed flat (leasehold),Scotland,52,71,61,93,4836,6603,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Typically freeholder insures structure; leaseholder insures contents + improvements
1-bed flat (leasehold),Northern Ireland,46,63,54,66,3036,4158,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Typically freeholder insures structure; leaseholder insures contents + improvements
2-bed flat (freehold),London,116,159,137,100,11600,15900,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Ground floor and upper floor flats may differ; use actual floor area
2-bed flat (freehold),South East England,100,137,118,172,17200,23564,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Ground floor and upper floor flats may differ; use actual floor area
2-bed flat (freehold),East of England,88,121,104,147,12936,17787,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Ground floor and upper floor flats may differ; use actual floor area
2-bed flat (freehold),South West England,86,118,102,173,14878,20414,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Ground floor and upper floor flats may differ; use actual floor area
2-bed flat (freehold),East Midlands,76,104,90,178,13528,18512,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Ground floor and upper floor flats may differ; use actual floor area
2-bed flat (freehold),West Midlands,77,106,91,165,12705,17490,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Ground floor and upper floor flats may differ; use actual floor area
2-bed flat (freehold),Yorkshire and Humber,73,101,87,139,10147,14039,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Ground floor and upper floor flats may differ; use actual floor area
2-bed flat (freehold),North West England,74,102,88,115,8510,11730,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Ground floor and upper floor flats may differ; use actual floor area
2-bed flat (freehold),North East England,70,96,83,124,8680,11904,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Ground floor and upper floor flats may differ; use actual floor area
2-bed flat (freehold),Wales,72,99,85,104,7488,10296,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Ground floor and upper floor flats may differ; use actual floor area
2-bed flat (freehold),Scotland,76,104,90,104,7904,10816,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Ground floor and upper floor flats may differ; use actual floor area
2-bed flat (freehold),Northern Ireland,68,93,80,119,8092,11067,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Ground floor and upper floor flats may differ; use actual floor area
2-bed terraced house,London,137,188,162,106,14522,19928,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Victorian/Edwardian terraces: add 15–20% for period features
2-bed terraced house,South East England,118,162,140,95,11210,15390,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Victorian/Edwardian terraces: add 15–20% for period features
2-bed terraced house,East of England,104,143,123,147,15288,21021,"15% (architect, surveyor, project management)",20% (VAT on labour and materials),January 2025,Victorian/Edwardian terraces: add 15–20% for period features
