damage_type,peril_category,affected_component,property_size_category,repair_cost_low_gbp,repair_cost_high_gbp,repair_cost_avg_gbp,typical_labour_days,vat_included,recommended_quotes,specialist_required,notes
"Roof tile replacement (partial, up to 20 tiles)",Storm,Roof,1-bed flat/apartment,125,550,337,1,Yes (20% VAT included),1 quote sufficient,No,
"Roof tile replacement (partial, up to 20 tiles)",Storm,Roof,2-bed terraced house,175,700,437,1,Yes (20% VAT included),1 quote sufficient,No,
"Roof tile replacement (partial, up to 20 tiles)",Storm,Roof,3-bed semi-detached house,200,800,500,1,Yes (20% VAT included),1 quote sufficient,No,
"Roof tile replacement (partial, up to 20 tiles)",Storm,Roof,3-bed detached house,225,900,562,1,Yes (20% VAT included),1 quote sufficient,No,
"Roof tile replacement (partial, up to 20 tiles)",Storm,Roof,4-bed detached house,250,1075,662,1,Yes (20% VAT included),1 quote sufficient,No,
"Roof tile replacement (partial, up to 20 tiles)",Storm,Roof,5-bed+ large detached,300,1275,787,1,Yes (20% VAT included),1 quote sufficient,No,
"Roof tile replacement (major, >50 tiles)",Storm,Roof,1-bed flat/apartment,550,2450,1500,3,Yes (20% VAT included),1 quote sufficient,No,Scaffolding may be required
"Roof tile replacement (major, >50 tiles)",Storm,Roof,2-bed terraced house,700,3150,1925,3,Yes (20% VAT included),1 quote sufficient,No,Scaffolding may be required
"Roof tile replacement (major, >50 tiles)",Storm,Roof,3-bed semi-detached house,800,3500,2150,3,Yes (20% VAT included),1 quote sufficient,No,Scaffolding may be required
"Roof tile replacement (major, >50 tiles)",Storm,Roof,3-bed detached house,900,4000,2450,3,Yes (20% VAT included),1 quote sufficient,No,Scaffolding may be required
"Roof tile replacement (major, >50 tiles)",Storm,Roof,4-bed detached house,1075,4725,2900,3,Yes (20% VAT included),2 independent quotes required,No,Scaffolding may be required
"Roof tile replacement (major, >50 tiles)",Storm,Roof,5-bed+ large detached,1275,5600,3437,3,Yes (20% VAT included),2 independent quotes required,No,Scaffolding may be required
"Flat roof repair (felt / EPDM, partial)",Storm,Roof,1-bed flat/apartment,275,1050,662,2,Yes (20% VAT included),1 quote sufficient,No,
"Flat roof repair (felt / EPDM, partial)",Storm,Roof,2-bed terraced house,350,1350,850,2,Yes (20% VAT included),1 quote sufficient,No,
"Flat roof repair (felt / EPDM, partial)",Storm,Roof,3-bed semi-detached house,400,1500,950,2,Yes (20% VAT included),1 quote sufficient,No,
"Flat roof repair (felt / EPDM, partial)",Storm,Roof,3-bed detached house,450,1700,1075,2,Yes (20% VAT included),1 quote sufficient,No,
"Flat roof repair (felt / EPDM, partial)",Storm,Roof,4-bed detached house,525,2025,1275,2,Yes (20% VAT included),1 quote sufficient,No,
"Flat roof repair (felt / EPDM, partial)",Storm,Roof,5-bed+ large detached,625,2400,1512,2,Yes (20% VAT included),1 quote sufficient,No,
"Flat roof replacement (full, up to 30sqm)",Storm,Roof,1-bed flat/apartment,1750,5600,3675,5,Yes (20% VAT included),2 independent quotes required,No,Includes removal of old felt
